ID,consentimiento,sexo,edad,universidad,disciplina_OCDE,sede,frecuencia_uso_ChatGPT,CT1,CT2,CT3,CT4,CT5,CT6,EC1,EC2,EC3,EC4,EC5,EC6,CC1,CC2,CC3,CC4,CC5,AC1,AC2,AC3,AC4,HE1,HE2,HE3,HE4,pregunta,aceptacion,comprension,satisfaccion,usa_ChatGPT
1,SI,Masculino,45,Universidad A,Ingeniería y Tecnología,Santiago,E. Lo utilizo menos de dos veces al mes,1,1,1,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,Tareas de mi hijo de 11 años  nada muy avanzado por el nivel que cursa.,4,4,4,SI
2,SI,Masculino,43,Universidad A,Ciencias Sociales,Santiago,A. Lo utilizo tanto como puedo (al menos una vez al día),3,5,4,2,4,4,3,5,5,4,3,2,5,5,5,5,5,5,5,3,5,5,2,1,5,,4,3,3,SI
3,SI,Masculino,47,Universidad A,Ciencias Sociales,Santiago,D. Lo utilizo ocasionalmente (2–3 veces al mes),5,3,3,1,5,5,3,3,3,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,3,Para resúmenes  de alto contenido de material.,4,4,4,SI
4,SI,Masculino,44,Universidad A,Ciencias Sociales,A distancia,C. Lo utilizo con frecuencia (4–5 veces al mes),5,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,2,3,3,2,3,3,2,2,4,Solamente busco información más precisa y realizo preguntas de tipo cultural  comparaciones entre títulos de libros ,2,2,3,SI
5,SI,Femenino,51,Universidad A,Ingeniería y Tecnología,A distancia,D. Lo utilizo ocasionalmente (2–3 veces al mes),2,2,2,1,2,4,2,2,2,3,2,2,5,3,5,5,5,1,1,4,2,5,4,2,5,Lo he usado para buscar otras explicaciones a un tema que no esté entendiendo bien. Pero a veces después de las respuesta coloco estas seguro?  y a veces cambia la respuesta. En esos casos no considero lo que este respondiendo. Me gusta más para hacer resúmenes o imágenes con ia. ,4,4,4,SI
6,SI,Masculino,41,Universidad A,Ciencias Sociales,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,Para redactar un informe mas formal  mis palabras no eran las mas adecuadas para presentar ante el directorio los hallazgos de auditoria,1,2,2,SI
7,SI,Femenino,41,Universidad A,Ingeniería y Tecnología,A distancia,E. Lo utilizo menos de dos veces al mes,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,Para buscar información respecto a hecho histórico  ,3,3,3,SI
8,SI,Femenino,40,Universidad A,Ciencias Sociales,Viña del Mar,C. Lo utilizo con frecuencia (4–5 veces al mes),3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,,3,3,3,SI
9,SI,Masculino,43,Universidad A,Ingeniería y Tecnología,A distancia,A. Lo utilizo tanto como puedo (al menos una vez al día),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,"En mi estudio de cálculo  utilicé ChatGPT para resolver dudas en temas complejos  como derivadas y límites. Me fue de gran ayuda  ya que ofrecía ejemplos claros y detallados  lo cual me permitió entender mejor el proceso y aplicarlo en mis ejercicios.

Beneficios: Tener acceso a respuestas inmediatas me ayudó a enfocarme en el aprendizaje de los pasos específicos  sin depender únicamente de mis apuntes o los libros  lo que facilitó mi estudio.

Limitaciones: Sin embargo  noté que algunas respuestas eran generales y no siempre se ajustaban al enfoque de mi curso  así que corroboré la información con otras fuentes para asegurar precisión.

Ética: Usé ChatGPT como apoyo para comprender el proceso y asegurarme de que el trabajo reflejara mi propio aprendizaje. Fue importante para mí que las respuestas automáticas no reemplazaran mi análisis personal  manteniendo la honestidad académica.
",4,4,4,SI
10,SI,Masculino,41,Universidad A,Ingeniería y Tecnología,Santiago,B. Lo utilizo casi a diario (5–6 veces a la semana o más),4,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Para un curso de phyton ,4,4,4,SI
