sexo,grado_academico,especializacion,experiencia_profesional,anios_experiencia,exp_valid_inst
Masculino,Doctorado,Educación superior,Investigación,10,SI
Masculino,Magister,Educación superior,Docencia,36,SI
Femenino,Magister,Educación superior,Investigación,20,SI
Masculino,Magister,Psicología,Docencia,9,SI
Femenino,Doctorado,Educación superior,Investigación,20,SI
Femenino,Doctorado,Psicología,Investigación,18,SI
Femenino,Doctorado,Educación superior,Docencia,20,SI
Femenino,Magister,Psicología,Docencia,14,SI
Masculino,Doctorado,Educación superior,Docencia,20,SI
Femenino,Doctorado,Educación superior,Investigación,24,SI
Femenino,Magister,Educación superior,Docencia,20,SI
Masculino,Doctorado,Educación superior,Docencia,14,SI
